Rank* (UB),Model,Arena Score,95% CI,Votes,Organization,License,Knowledge Cutoff
109,Guanaco-33B,1033,+11/-12,2997,UW,Non-commercial,2023/5
86,Starling-LM-7B-alpha,1088,+5/-6,10413,UC Berkeley,CC-BY-NC-4.0,2023/11
129,Koala-13B,965,+8/-8,7033,UC Berkeley,Non-commercial,2023/4
129,ChatGLM3-6B,956,+7/-7,4761,Tsinghua,Apache-2.0,2023/10
131,ChatGLM2-6B,924,+11/-11,2707,Tsinghua,Apache-2.0,2023/6
136,ChatGLM-6B,879,+10/-9,4994,Tsinghua,Non-commercial,2023/3
117,StripedHyena-Nous-7B,1018,+9/-6,5267,Together AI,Apache 2.0,2023/12
108,falcon-180b-chat,1035,+16/-15,1326,TII,Falcon-180B TII License,2023/9
135,Alpaca-13B,902,+10/-7,5869,Stanford,Non-commercial,2023/3
139,StableLM-Tuned-Alpha-7B,840,+10/-12,3339,Stability AI,CC-BY-NC-SA-4.0,2023/4
86,Snowflake Arctic Instruct,1090,+4/-4,34167,Snowflake,Apache 2.0,2024/4
25,Reka-Core-20240722,1230,+5/-5,13333,Reka AI,Proprietary,Unknown
34,Reka-Flash-20240722,1200,+5/-4,13775,Reka AI,Proprietary,Unknown
37,Reka-Core-20240501,1200,+4/-3,62610,Reka AI,Proprietary,Unknown
50,Reka-Flash-Preview-20240611,1165,+4/-5,20464,Reka AI,Proprietary,Unknown
53,Reka-Flash-21B-online,1156,+5/-5,16034,Reka AI,Proprietary,Online
58,Reka-Flash-21B,1148,+4/-4,25795,Reka AI,Proprietary,2023/11
131,RWKV-4-Raven-14B,922,+10/-9,4934,RWKV,Apache 2.0,2023/4
28,Gemma-2-9b-it-SimPO,1216,+6/-4,10617,Princeton,MIT,2024/7
89,pplx-70b-online,1078,+8/-8,6888,Perplexity AI,Proprietary,Online
108,pplx-7b-online,1045,+7/-7,6338,Perplexity AI,Proprietary,Online
86,OpenChat-3.5-0106,1092,+5/-5,12978,OpenChat,Apache-2.0,2024/1
91,OpenChat-3.5,1076,+7/-5,8113,OpenChat,Apache-2.0,2023/11
135,OpenAssistant-Pythia-12B,894,+8/-10,6380,OpenAssistant,Apache 2.0,2023/4
1,o1-preview,1355,+12/-11,2991,OpenAI,Proprietary,2023/10
2,ChatGPT-4o-latest (2024-09-03),1335,+5/-6,10213,OpenAI,Proprietary,2023/10
2,o1-mini,1324,+12/-9,3009,OpenAI,Proprietary,2023/10
6,GPT-4o-2024-05-13,1285,+3/-3,90695,OpenAI,Proprietary,2023/10
7,GPT-4o-mini-2024-07-18,1273,+3/-3,30434,OpenAI,Proprietary,2023/10
8,GPT-4o-2024-08-06,1263,+4/-3,22562,OpenAI,Proprietary,2023/10
14,GPT-4-Turbo-2024-04-09,1257,+3/-2,92973,OpenAI,Proprietary,2023/12
17,GPT-4-1106-preview,1251,+2/-3,97378,OpenAI,Proprietary,2023/4
17,GPT-4-0125-preview,1245,+4/-2,90560,OpenAI,Proprietary,2023/12
42,GPT-4-0314,1186,+3/-3,55947,OpenAI,Proprietary,2021/9
52,GPT-4-0613,1163,+3/-2,91629,OpenAI,Proprietary,2021/9
70,GPT-3.5-Turbo-0613,1117,+4/-3,38943,OpenAI,Proprietary,2021/9
73,GPT-3.5-Turbo-0314,1107,+9/-9,5650,OpenAI,Proprietary,2021/9
77,GPT-3.5-Turbo-0125,1106,+3/-3,68863,OpenAI,Proprietary,2021/9
94,GPT-3.5-Turbo-1106,1068,+5/-5,17017,OpenAI,Proprietary,2021/9
31,Nemotron-4-340B-Instruct,1209,+5/-3,20650,Nvidia,NVIDIA Open Model,2023/6
86,NV-Llama2-70B-SteerLM-Chat,1081,+12/-9,3635,Nvidia,Llama 2 Community,2023/11
86,Nous-Hermes-2-Mixtral-8x7B-DPO,1085,+9/-9,3840,NousResearch,Apache-2.0,2024/1
92,OpenHermes-2.5-Mistral-7b,1075,+7/-8,5089,NousResearch,Apache-2.0,2023/11
131,GPT4All-13B-Snoozy,932,+13/-14,1786,Nomic AI,Non-commercial,2023/3
69,Starling-LM-7B-beta,1119,+4/-4,16661,Nexusflow,Apache-2.0,2024/3
17,Athene-70b,1250,+4/-4,20738,NexusFlow,CC-BY-NC-4.0,2024/7
105,MPT-30B-chat,1046,+10/-9,2650,MosaicML,CC-BY-NC-SA-4.0,2023/6
131,MPT-7B-Chat,928,+9/-11,4015,MosaicML,CC-BY-NC-SA-4.0,2023/5
17,Mistral-Large-2407,1250,+4/-4,27285,Mistral,Mistral Research,2024/7
54,Mistral-Large-2402,1157,+3/-2,64931,Mistral,Proprietary,Unknown
58,Mistral Medium,1148,+4/-3,35543,Mistral,Proprietary,Unknown
59,Mixtral-8x22b-Instruct-v0.1,1147,+4/-3,53817,Mistral,Apache 2.0,2024/4
67,Mistral-Next,1125,+6/-5,12376,Mistral,Proprietary,Unknown
75,Mixtral-8x7b-Instruct-v0.1,1114,+0/-0,76104,Mistral,Apache 2.0,2023/12
93,Mistral-7B-Instruct-v0.2,1072,+5/-4,20046,Mistral,Apache-2.0,2023/12
122,Mistral-7B-Instruct-v0.1,1008,+7/-6,9135,Mistral,Apache 2.0,2023/9
68,Phi-3-Medium-4k-Instruct,1123,+5/-3,26139,Microsoft,MIT,2023/10
74,WizardLM-70B-v1.0,1106,+9/-6,8386,Microsoft,Llama 2 Community,2023/8
79,Phi-3-Small-8k-Instruct,1102,+4/-4,18489,Microsoft,MIT,2023/10
93,Phi-3-Mini-4k-Instruct-June-24,1071,+6/-6,12889,Microsoft,MIT,2023/10
96,Phi-3-Mini-4k-Instruct,1066,+5/-4,21116,Microsoft,MIT,2023/10
99,WizardLM-13b-v1.2,1059,+9/-6,7187,Microsoft,Llama 2 Community,2023/7
109,Phi-3-Mini-128k-Instruct,1037,+4/-4,21609,Microsoft,MIT,2023/10
7,Meta-Llama-3.1-405b-Instruct-fp8,1266,+4/-4,31280,Meta,Llama 3.1 Community,2023/12
7,Meta-Llama-3.1-405b-Instruct-bf16,1264,+6/-8,5865,Meta,Llama 3.1 Community,2023/12
17,Meta-Llama-3.1-70b-Instruct,1248,+4/-4,26253,Meta,Llama 3.1 Community,2023/12
32,Llama-3-70b-Instruct,1206,+3/-2,163849,Meta,Llama 3 Community,2023/12
49,Meta-Llama-3.1-8b-Instruct,1171,+4/-3,24107,Meta,Llama 3.1 Community,2023/12
57,Llama-3-8b-Instruct,1152,+2/-2,109335,Meta,Llama 3 Community,2023/3
85,Llama-2-70b-chat,1093,+4/-4,39621,Meta,Llama 2 Community,2023/7
99,Llama-2-13b-chat,1063,+4/-4,19732,Meta,Llama 2 Community,2023/7
105,CodeLlama-70B-instruct,1043,+13/-17,1191,Meta,Llama 2 Community,2024/1
108,CodeLlama-34B-instruct,1043,+8/-6,7508,Meta,Llama 2 Community,2023/7
109,Llama-2-7b-chat,1037,+5/-4,14553,Meta,Llama 2 Community,2023/7
141,LLaMA-13B,799,+12/-13,2444,Meta,Non-commercial,2023/2
86,Vicuna-33B,1091,+4/-5,22926,LMSYS,Non-commercial,2023/8
109,Vicuna-13B,1042,+5/-5,19789,LMSYS,Llama 2 Community,2023/7
122,Vicuna-7B,1005,+7/-9,7018,LMSYS,Llama 2 Community,2023/7
137,FastChat-T5-3B,868,+8/-10,4301,LMSYS,Apache 2.0,2023/4
66,Zephyr-ORPO-141b-A35b-v0.1,1127,+8/-10,4856,HuggingFace,Apache 2.0,2024/4
104,Zephyr-7b-beta,1053,+6/-5,11322,HuggingFace,MIT,2023/10
105,Zephyr-7b-alpha,1041,+16/-12,1816,HuggingFace,MIT,2023/10
4,Gemini-1.5-Pro-Exp-0827,1299,+5/-4,28229,Google,Proprietary,2023/11
7,Gemini-1.5-Flash-Exp-0827,1269,+4/-4,22264,Google,Proprietary,2023/11
7,Gemini Advanced App (2024-05-14),1267,+3/-3,52218,Google,Proprietary,Online
12,Gemini-1.5-Pro-001,1259,+3/-3,80656,Google,Proprietary,2023/11
25,Gemini-1.5-Flash-001,1227,+3/-2,64810,Google,Proprietary,2023/11
27,Gemma-2-27b-it,1217,+5/-3,37529,Google,Gemma license,2024/6
32,Gemini-1.5-Flash-8b-Exp-0827,1205,+5/-3,22117,Google,Proprietary,2023/11
42,Gemma-2-9b-it,1188,+4/-4,30237,Google,Gemma license,2024/6
66,Gemma-2-2b-it,1135,+5/-4,20713,Google,Gemma license,2024/7
66,Gemini-1.0-Pro-001,1132,+5/-5,18773,Google,Proprietary,2023/4
